wdid,mass,age
2MASS J08253382+1610484,0.82,
2MASS J08255492+3404469,,
2MASS J08260175+0945562,0.58,
2MASS J08260971+1941264,0.83,
2MASS J08261954+3330423,0.55,
2MASS J08280858+1851271,,
2MASS J08290355+2316511,,
2MASS J08290656+3555196,,
2MASS J08295966+2656574,,
2MASS J08302548-0536386,0.72,
2MASS J08303881+4702468,0.63,0.0039
2MASS J08305611+3159420,0.5,0.0076
2MASS J08313272+1322444,0.568,0.1549
2MASS J08314302+1209360,0.71,
2MASS J08323309+6111206,,
2MASS J08325681+2303472,,
2MASS J08331190+1734568,0.56,
2MASS J08332842+1106578,,
2MASS J08335484+0702400,0.54,0.1778
2MASS J08341039+1353561,0.595,
2MASS J08342069+0917098,0.143,
2MASS J08363033-0410189,,
2MASS J08372244+2654172,0.94,1.0233
2MASS J08374003+5543571,,
2MASS J08380803+5302540,0.37,0.0001
2MASS J08382711+4150152,1.07,
2MASS J08384586+1914167,0.163,
2MASS J08400640+1430256,,
2MASS J08401823+2656035,0.65,0.0107
2MASS J08405692+2755137,1.07,
2MASS J08411948+1601329,0.47,
2MASS J08412266+0630294,,
2MASS J08430616+3627243,,
2MASS J08430728+1226102,0.95,
2MASS J08435956+1723501,,
2MASS J08440593+0941221,0.52,
2MASS J08451867+0559116,0.66,
2MASS J08463721+2636186,0.48,
2MASS J08482713+2715417,0.56,
2MASS J08483360+0058399,0.68,
2MASS J08484119+2320516,,
2MASS J08484617+1927590,0.59,
2MASS J08490170+4439355,0.669,4.05
2MASS J08503937+2745368,,
2MASS J08504884+6015237,,
2MASS J08510350+0502111,,
2MASS J08511025+0247319,,
2MASS J08511521+4530279,,
2MASS J08520206+1154000,0.37,
2MASS J08521817+1737130,0.36,
2MASS J08522373+0713256,0.92,
2MASS J08522441+1433085,0.21,
2MASS J08525322+2726210,0.81,
2MASS J08533603+0720334,,
2MASS J08541811+4704019,,
2MASS J08543885+1633499,,
2MASS J08550954+1339464,0.58,
2MASS J08554814+0223416,,
2MASS J08554980+3700171,0.441,1.81
2MASS J08555559+1900046,0.44,
2MASS J08560203+0938209,,
2MASS J08561241+1437570,0.24,
2MASS J08563156+0305547,0.56,
2MASS J08574143+1539060,0.55,
2MASS J08584400+1951521,0.49,
2MASS J08591127+0435071,0.61,
2MASS J08593742+1252038,,
2MASS J09021095+2529133,,
2MASS J09030286+3855274,,
2MASS J09040905+4227022,0.58,
2MASS J09043729+2254392,0.53,
2MASS J09043983+5621421,0.793,
2MASS J09050539+0548116,0.64,0.0102
2MASS J09060301+2759247,,
2MASS J09063859+0700598,0.593,0.1233
2MASS J09071236+3643184,0.758,1.37
2MASS J09081205+0604211,0.37,0.1047
2MASS J09090352+3702067,0.61,
2MASS J09092543+5337006,0.54,0.0457
2MASS J09101881+2921481,,
2MASS J09103379+0202113,,
2MASS J09104052+0145482,0.42,
2MASS J09113224+3036053,0.64,
2MASS J09115544+5401266,,
2MASS J09121638+2344426,0.69,
2MASS J09130445+0114179,0.4,
2MASS J09130970+2233469,0.98,
2MASS J09150822+4155594,0.47,
2MASS J09151342+3137131,0.74,
2MASS J09160148-0031299,0.73,0.2138
2MASS J09160189+2259476,0.683,4.41
2MASS J09162179+0521182,0.76,0.0014
2MASS J09162551+4415574,0.44,0.0501
2MASS J09171217+2154259,0.28,
2MASS J09184954+5456018,0.48,
2MASS J09191608+2944204,0.35,0.0006
2MASS J09192172+0024009,,
2MASS J09210410+4250446,0.297,0.247
2MASS J09213791+1613384,,
2MASS J09215764+1013514,0.79,
2MASS J09220070+1817144,1.02,
2MASS J09225751+2904163,0.55,
2MASS J09235581+2130518,,
2MASS J09243397+2040200,1.04,
2MASS J09245163-0017364,0.57,
2MASS J09245240+0024490,0.52,0.0468
2MASS J09245914+0622099,,
2MASS J09250936+0645041,,
2MASS J09254597+1309433,,
2MASS J09274174+3329592,0.59,0.0112
2MASS J09274476+2324035,,
2MASS J09293051+2846497,0.58,
2MASS J09304593+2259571,0.6,
2MASS J09312894+3941198,0.41,
2MASS J09315566+3946076,0.68,0.0214
2MASS J09321457+3452354,0.58,
2MASS J09323683+0530267,1.02,
2MASS J09342806+0545422,,
2MASS J09343247+0313482,0.49,0.0068
2MASS J09344128+3050260,0.83,
2MASS J09352642+2454237,1.02,
2MASS J09355565+3633301,,
2MASS J09363235+3419326,1.03,
2MASS J09363642+6256063,,
2MASS J09372642+0630011,0.42,
2MASS J09374115+4708367,,
2MASS J09380929+1430370,,
2MASS J09391849+5729013,0.41,0.309
2MASS J09393661+3734353,0.54,0.5012
2MASS J09395928+3801392,0.65,0.0692
2MASS J09400240+5342029,,
2MASS J09403523+5200073,0.58,
2MASS J09410187+0622211,0.66,
2MASS J09410189+5107203,0.52,0.0398
2MASS J09410329+1412263,,
2MASS J09411519+0901549,0.28,0.45
2MASS J09422354+2953275,,
2MASS J09433820+6153228,,
2MASS J09440217+6143078,0.555,
2MASS J09454260+1739001,,
2MASS J09463451+2030036,0.62,
2MASS J09463729+6312277,,
2MASS J09464035+2337337,0.62,
2MASS J09474454+1233385,0.52,0.2818
2MASS J09482131+3659353,,
2MASS J09485008+1319275,0.616,1.82
2MASS J09485392+5739578,0.51,0.0033
2MASS J09493551+4834053,0.589,0.5735
2MASS J09494447+0121184,,
2MASS J09510873+0255075,0.45,0.4169
2MASS J09510893+0406022,0.51,0.0004
2MASS J09525012+3243290,0.78,
2MASS J09525044+1553041,,
2MASS J09530866+4813446,0.64,0.537
2MASS J09534504+1258295,0.66,
2MASS J09542257+4323252,0.55,
2MASS J09542310+2404110,0.58,
2MASS J09551069+1802151,0.596,0.4686
2MASS J09551643+3935483,,
2MASS J09563219-0033409,,
2MASS J09570594+6152547,0.51,0.0037
2MASS J09572384+0207349,0.58,0.7078
2MASS J09573758+3001364,0.42,
2MASS J09590382+0815212,,
2MASS J09593714+3303119,,
2MASS J09595353-0115040,0.33,
2MASS J10001518+3043306,0.93,
2MASS J10002722+1101408,0.64,
2MASS J10013122+3203231,0.61,
2MASS J10025551+4243210,,
2MASS J10050339+2112039,0.63,
2MASS J10050791+3513577,,
2MASS J10052993+5219378,0.435,
2MASS J10053384+2501497,,
2MASS J10060916+0044169,0.582,1.023
2MASS J10063640+5633468,,
2MASS J10072113+3008519,0.71,
2MASS J10074110+4041260,0.46,
2MASS J10083964+0641242,,
2MASS J10090559+0244416,0.55,0.3981
2MASS J10101102+1755345,,
2MASS J10104689+1713489,0.094,
2MASS J10112352+2952023,0.72,
2MASS J10141450+0401369,0.591,1.24
2MASS J10141769+3236482,,
2MASS J10143597+4226228,0.888,2.96
2MASS J10145164+4541479,0.301,3.837
2MASS J10150105+1850062,0.64,
2MASS J10161266+3242394,0.37,
2MASS J10163446+3334179,,
2MASS J10164086-0109005,,
2MASS J10164526+1920542,0.577,0.3607
2MASS J10164722-0109072,0.67,0.1318
2MASS J10171606+1051239,,
2MASS J10172255+2926248,0.75,
2MASS J10174168-0029337,0.62,0.2188
2MASS J10180002+0838206,0.527,1.21
2MASS J10180431+2533080,0.53,0.0056
2MASS J10183310+0953361,,
2MASS J10192284+2854008,0.72,
2MASS J10195468+5317367,0.52,0.0617
2MASS J10195862+2833403,,
2MASS J10201454+3553213,0.435,
2MASS J10203207+0246221,0.28,
2MASS J10210225+1744399,1.06,
2MASS J10220594+0802463,0.52,
2MASS J10221035+4612491,0.697,2.14
2MASS J10221347+2941200,1.275,
2MASS J10221930+0523415,,
2MASS J10225621+0954188,,
2MASS J10233423+0427221,0.52,0.5754
2MASS J10243847+1624582,,
2MASS J10251535+1749379,0.53,
2MASS J10262322+1629382,0.33,
2MASS J10262770+3017102,0.575,
2MASS J10275006+2712441,0.65,
2MASS J10280776-6327128,,
2MASS J10285778+0931300,0.83,
2MASS J10292576+0749391,,
