wdid,mass,age
Gaia DR3 4298063348950942464,0.85,
Gaia DR3 4298105993689726080,0.578,
Gaia DR3 4298152168873727744,0.578,
Gaia DR3 4298332012051652352,0.351,
Gaia DR3 4298426398255335168,0.402,
Gaia DR3 4298451721370199424,0.784,
Gaia DR3 4298472332917281024,0.591,
Gaia DR3 4298511129373325952,0.31,
Gaia DR3 4298663613580570624,0.544,
Gaia DR3 4298677121270154368,0.522,
Gaia DR3 4298705910414029312,0.643,
Gaia DR3 4298757557400956160,0.636,
Gaia DR3 4298878842976418688,0.677,
Gaia DR3 4298884791517263232,0.532,
Gaia DR3 4299097164758778112,0.495,
Gaia DR3 4299137881055141632,0.432,
Gaia DR3 4299169839907448192,0.573,
Gaia DR3 4299179426268058624,0.677,
Gaia DR3 4299194544560008064,0.554,
Gaia DR3 4299292194929755264,0.306,
Gaia DR3 4299386336313417472,0.443,
Gaia DR3 4299421387544213376,0.561,
Gaia DR3 429947907324981248,0.589,
Gaia DR3 4299541474841695488,0.808,
Gaia DR3 4299677054059687936,0.598,
Gaia DR3 4299689324779425408,0.623,
Gaia DR3 4299701827431499392,0.613,
Gaia DR3 4299708257004403584,0.659,
Gaia DR3 4299761029263916288,0.378,
Gaia DR3 4299762403650843392,0.587,
Gaia DR3 429980656450707072,0.146,
Gaia DR3 4299864830037946496,0.6,
Gaia DR3 4299976911495841152,0.651,
Gaia DR3 4300019453156281728,0.473,
Gaia DR3 4300021583460052736,0.507,
Gaia DR3 4300028932140561024,1.026,
Gaia DR3 430010373331133824,0.659,
Gaia DR3 4300205506836807936,0.787,
Gaia DR3 4300251170941328768,0.47,
Gaia DR3 4300298553012268416,,
Gaia DR3 4300345870669304704,0.282,
Gaia DR3 4300473581516704896,0.454,
Gaia DR3 430049096757310848,0.474,
Gaia DR3 4300498011290989440,0.712,
Gaia DR3 4300521307194562816,0.728,
Gaia DR3 4300634561202127616,0.461,
Gaia DR3 4300714752518965120,0.599,
Gaia DR3 4300725060441662336,0.423,
Gaia DR3 4300737533025076736,0.787,
Gaia DR3 430075931719076608,0.2,
Gaia DR3 4300840715317725696,0.132,
Gaia DR3 4300861438550244352,,
Gaia DR3 4300865729208445952,0.798,
Gaia DR3 4300908438363030528,0.219,
Gaia DR3 4301116215998974080,0.32,
Gaia DR3 4301255579106821504,0.438,
Gaia DR3 4301275473393531392,0.615,
Gaia DR3 4301280519977025920,0.594,
Gaia DR3 4301281795606135552,0.491,
Gaia DR3 4301282757656657664,0.743,
Gaia DR3 430128918732041344,,
Gaia DR3 4301290484293353344,0.668,
Gaia DR3 4301327597131289344,0.667,
Gaia DR3 4301355973959145728,0.41,
Gaia DR3 4301524371035617792,0.223,
Gaia DR3 4301633192643554560,0.629,
Gaia DR3 430163789565435648,0.372,
Gaia DR3 4301720255903581696,0.303,
Gaia DR3 4301839763374997376,0.414,
Gaia DR3 4301872710060209152,0.393,
Gaia DR3 4302003998622347776,0.362,
Gaia DR3 4302130373736829952,0.57,
Gaia DR3 4302241596214473856,1.262,
Gaia DR3 4302282175066537856,0.517,
Gaia DR3 4302330351747084800,0.391,
Gaia DR3 4302331584365880192,0.538,
Gaia DR3 4302369899809171968,0.471,
Gaia DR3 4302592546581927552,0.801,
Gaia DR3 4302652538685405312,0.749,
Gaia DR3 4302707308116861056,0.517,
Gaia DR3 430276803038569728,0.842,
Gaia DR3 4302846812965511424,0.682,
Gaia DR3 43028734718634368,0.461,
Gaia DR3 4302967239527781760,0.608,
Gaia DR3 4302995586312514816,0.528,
Gaia DR3 4303109802385494784,0.271,
Gaia DR3 4303115609211671808,0.491,
Gaia DR3 4303181957853467904,0.496,
Gaia DR3 430326208047888768,0.97,
Gaia DR3 4303283349123968896,0.515,
Gaia DR3 4303346708476813056,0.513,
Gaia DR3 4303350659846515584,0.906,
Gaia DR3 430337787280930048,0.356,
Gaia DR3 4303394468516841216,0.938,
Gaia DR3 4303535412159881856,0.295,
Gaia DR3 4303595305495927168,0.687,
Gaia DR3 4303602929046712064,0.581,
Gaia DR3 4303628011653539968,0.784,
Gaia DR3 4303632787662659584,0.583,
Gaia DR3 4303642069100272768,0.883,
Gaia DR3 4303643885858754304,0.594,
Gaia DR3 4303681647208265856,0.375,
Gaia DR3 4303727384333935360,0.231,
Gaia DR3 4303802666513219584,0.562,
Gaia DR3 4303904680577155712,0.675,
Gaia DR3 4303992465400677376,0.575,
Gaia DR3 4303993771068034176,0.735,
Gaia DR3 4304003941553442560,0.5,
Gaia DR3 4304017307489620864,0.48,
Gaia DR3 4304055073136780032,0.615,
Gaia DR3 4304319913710705536,0.569,
Gaia DR3 4304333971134040448,0.449,
Gaia DR3 4304345236832881920,0.384,
Gaia DR3 4304346370704017152,0.438,
Gaia DR3 430463032830459008,0.224,
Gaia DR3 4304661866126025344,0.182,
Gaia DR3 4304778616214307328,0.708,
Gaia DR3 4304826999053442688,0.321,
Gaia DR3 4304843727920539264,0.647,
Gaia DR3 4304848572645761920,0.724,
Gaia DR3 4305000992446938240,0.566,
Gaia DR3 4305028445869512960,0.433,
Gaia DR3 4305097616328308352,0.458,
Gaia DR3 4305127608077831168,0.548,
Gaia DR3 4305142421434024704,0.505,
Gaia DR3 4305201932491310976,0.598,
Gaia DR3 4305219554735502976,0.6,
Gaia DR3 4305221861162228608,0.505,
Gaia DR3 4305342081562241024,0.465,
Gaia DR3 4305390700601578368,0.578,
Gaia DR3 4305456503800024320,0.484,
Gaia DR3 430546591406296704,0.344,
Gaia DR3 4305488076095498112,0.553,
Gaia DR3 4305516770784538752,0.711,
Gaia DR3 430551745370986880,0.59,
Gaia DR3 4305659153228546560,0.569,
Gaia DR3 4305663379476453376,0.329,
Gaia DR3 4305669014473819264,0.606,
Gaia DR3 430572120693576832,0.617,
Gaia DR3 4305826004119379840,0.453,
Gaia DR3 4305861875684054400,0.505,
Gaia DR3 4306022576179975808,0.541,
Gaia DR3 4306036457514604800,0.536,
Gaia DR3 4306210562616652160,0.952,
Gaia DR3 4306225543468219520,0.422,
Gaia DR3 4306296427597489920,0.342,
Gaia DR3 4306387446545325184,0.467,
Gaia DR3 430644757179855360,0.587,
Gaia DR3 430648025662545024,0.565,
Gaia DR3 4306685414196795136,0.676,
Gaia DR3 4306824669916712704,0.29,
Gaia DR3 4307071956952878720,0.588,
Gaia DR3 4307101368887936768,0.389,
Gaia DR3 4307159608644322304,0.541,
Gaia DR3 4307181156499111424,0.589,
Gaia DR3 4307425415580979712,0.574,
Gaia DR3 4307717370280555392,0.368,
Gaia DR3 4307816051443876608,0.551,
Gaia DR3 4307862716269112576,0.585,
Gaia DR3 430788415245250944,0.224,
Gaia DR3 4308180475137295104,0.479,
Gaia DR3 4308185388580989696,0.704,
Gaia DR3 430821434957220608,0.898,
Gaia DR3 4308216136240467328,0.747,
Gaia DR3 430823324743092480,0.286,
Gaia DR3 4308239608270863104,0.229,
Gaia DR3 4308286990326563968,0.935,
Gaia DR3 4308349933066892544,0.626,
Gaia DR3 430837794487088640,0.598,
Gaia DR3 4308396666645874688,0.559,
Gaia DR3 4308414185770629120,0.978,
Gaia DR3 4308475968894343296,0.489,
Gaia DR3 4308538018272287104,0.614,
Gaia DR3 4308557985570166400,0.543,
Gaia DR3 4308557985605266048,0.512,
Gaia DR3 4308574340813918976,0.633,
Gaia DR3 4308713596532034688,0.397,
Gaia DR3 4308713699611244288,0.167,
Gaia DR3 4308722603084576896,0.482,
Gaia DR3 4308768125434324096,0.428,
Gaia DR3 4308809941236993920,0.502,
Gaia DR3 4308903812041383552,0.684,
Gaia DR3 4308913020461689856,0.686,
Gaia DR3 4308937007848521216,0.188,
Gaia DR3 4308963426188940416,0.557,
Gaia DR3 4309131273508681856,0.937,
Gaia DR3 4309193464649565312,0.762,
Gaia DR3 4309277645999222912,0.96,
Gaia DR3 4309325749631452928,0.554,
Gaia DR3 4309349664005992448,0.65,
Gaia DR3 4309374677896522624,0.217,
Gaia DR3 4309393786208112640,0.508,
Gaia DR3 430940354011623808,0.622,
Gaia DR3 4309491982043153280,0.601,
Gaia DR3 4309553863932977792,0.283,
Gaia DR3 4309723601038712448,0.207,
Gaia DR3 4309760748213398144,0.595,
Gaia DR3 430986537794005120,0.987,
Gaia DR3 4309948794766014336,0.908,
Gaia DR3 4309959308844067968,0.683,
Gaia DR3 431003648951531648,0.578,
Gaia DR3 4310137876407584000,0.919,
Gaia DR3 431028010001033984,0.801,
Gaia DR3 431035977162494464,0.409,
Gaia DR3 4310593868807779968,,
Gaia DR3 4310621043049127808,0.723,
Gaia DR3 4310911249717925120,0.774,
Gaia DR3 4310930624294205056,0.614,
Gaia DR3 4311103870386173312,0.236,
Gaia DR3 431114867123413632,0.694,
Gaia DR3 4311200863636915712,0.228,
Gaia DR3 4311257007453522176,0.34,
Gaia DR3 4311283812381887232,0.359,
Gaia DR3 4311300369438083200,0.425,
Gaia DR3 4311400051373576704,0.255,
Gaia DR3 4311429257129148800,0.783,
Gaia DR3 4311451556624073472,0.567,
Gaia DR3 4311475230472338432,0.754,
Gaia DR3 431156923438943360,0.557,
Gaia DR3 4311591125866015360,0.598,
Gaia DR3 4311636515048477312,0.339,
Gaia DR3 431171491973095936,0.103,
Gaia DR3 4311855008674233600,0.39,
Gaia DR3 4311973098757316608,0.563,
Gaia DR3 4312187061182730112,0.286,
Gaia DR3 4312256119919771008,0.339,
Gaia DR3 431228460416976640,0.324,
Gaia DR3 4312771481635033216,0.651,
Gaia DR3 4312971042991114368,0.564,
Gaia DR3 4312989459811623040,0.403,
Gaia DR3 4313029007872550784,0.552,
Gaia DR3 431317280339793792,0.761,
Gaia DR3 4313180946659371008,0.642,
Gaia DR3 4313218845424877568,0.474,
Gaia DR3 4313277050838766464,0.482,
Gaia DR3 4313390369243973248,0.339,
Gaia DR3 4313608145555096832,0.555,
Gaia DR3 4313735787697734016,0.837,
Gaia DR3 4313768257643242496,0.568,
Gaia DR3 4313834881184205952,0.728,
Gaia DR3 4313859555788046848,0.676,
Gaia DR3 431403042250646272,0.518,
Gaia DR3 4314133299842490880,0.388,
Gaia DR3 4314279564924907520,0.826,
Gaia DR3 431437097053785472,0.567,
Gaia DR3 4314475415419071616,1.077,
Gaia DR3 4314543589455847424,0.909,
Gaia DR3 4314566262566079104,0.79,
Gaia DR3 4314601794833309824,0.515,
Gaia DR3 4314633745096345600,0.584,
Gaia DR3 43146489838152064,0.38,
Gaia DR3 4314844924367985280,0.559,
Gaia DR3 4314869044906376832,0.644,
Gaia DR3 4314877390002513920,0.509,
Gaia DR3 4315047097095802368,0.562,
Gaia DR3 4315272222102560640,0.836,
Gaia DR3 4315315412296132480,0.293,
Gaia DR3 431537049534007552,0.199,
Gaia DR3 4315621282654681088,0.395,
Gaia DR3 4315626294858264704,0.952,
Gaia DR3 4315701821873535488,0.639,
Gaia DR3 4315701821885383808,0.57,
Gaia DR3 4315812494610581376,0.382,
Gaia DR3 4315830907099568384,0.408,
Gaia DR3 4315852729862752768,0.527,
Gaia DR3 431585973498162176,0.538,
Gaia DR3 431586046521748224,0.588,
Gaia DR3 4315896328037449984,0.353,
Gaia DR3 4315915603861995008,0.837,
Gaia DR3 4315933647023821952,0.319,
Gaia DR3 4316018378137497088,0.568,
Gaia DR3 4316022084680280192,0.664,
Gaia DR3 4316126538287071232,0.787,
Gaia DR3 4316186912660986112,0.833,
Gaia DR3 4316295008435027072,0.289,
Gaia DR3 4316319713088916736,0.629,
Gaia DR3 4316429213219629696,0.729,
Gaia DR3 4316506939266835968,0.55,
Gaia DR3 43166551629211904,0.64,
Gaia DR3 4316668734975579520,0.729,
Gaia DR3 4316999687980346880,0.673,
Gaia DR3 4317033055609738112,0.546,
Gaia DR3 4317130843371876992,0.308,
Gaia DR3 4317207053298451840,0.885,
Gaia DR3 4317329133437143680,0.373,
Gaia DR3 4317377924277656320,0.598,
Gaia DR3 4317455027514145024,0.518,
Gaia DR3 4317545840339444736,0.586,
Gaia DR3 4317562436094084736,0.273,
Gaia DR3 4317636545712338432,0.415,
Gaia DR3 4317657028438909952,0.629,
Gaia DR3 4317671803131283200,0.879,
Gaia DR3 4317684035206570752,0.537,
Gaia DR3 4317798517514253824,0.54,
Gaia DR3 4317816453298428288,0.592,
Gaia DR3 431789417503587072,0.203,
Gaia DR3 4317904104991838720,0.644,
Gaia DR3 4317914554697413504,0.514,
Gaia DR3 4317953552994722048,0.726,
Gaia DR3 4318167953438382464,0.563,
Gaia DR3 431817936086715264,0.351,
Gaia DR3 431821200261191808,0.967,
Gaia DR3 4318229942711438848,0.539,
Gaia DR3 4318337660505017216,0.701,
Gaia DR3 431836559065188224,0.613,
Gaia DR3 4318384179257967232,0.649,
Gaia DR3 4318533751539161088,0.698,
Gaia DR3 4318641224461841792,0.564,
Gaia DR3 4318679917818544896,0.424,
Gaia DR3 4318704274597680640,0.544,
Gaia DR3 4318726612719592192,0.79,
Gaia DR3 4318849345701649792,0.192,
Gaia DR3 4318926895660528000,0.427,
Gaia DR3 4318950672607243648,0.684,
Gaia DR3 4318971627704351104,1.228,
Gaia DR3 4319008774883830528,0.277,
Gaia DR3 4319031177426157568,1.198,
Gaia DR3 4319166314291087360,0.554,
Gaia DR3 431926822097024896,0.57,
Gaia DR3 4319312171372711168,0.525,
Gaia DR3 4319385112805942528,0.551,
Gaia DR3 431942730655917696,0.518,
Gaia DR3 4319555365295834752,0.526,
Gaia DR3 4319633778524723840,0.577,
Gaia DR3 4319665007220323200,0.589,
Gaia DR3 4319799701688937600,,
Gaia DR3 4319818805704207616,0.669,
Gaia DR3 431984413321217152,0.37,
Gaia DR3 4319884565948402176,0.517,
Gaia DR3 431988536483043072,0.612,
Gaia DR3 4320140202403259904,0.618,
Gaia DR3 432028423844089984,0.322,
Gaia DR3 4320404909831668480,0.221,
Gaia DR3 4320505622515071232,0.997,
Gaia DR3 4320559803528913152,0.529,
Gaia DR3 432057389103673344,0.25,
Gaia DR3 432058419895838720,0.575,
Gaia DR3 4320618597380130560,0.531,
Gaia DR3 4320743185782107392,0.683,
Gaia DR3 4320808396233790848,0.766,
Gaia DR3 4320878352665891584,0.616,
Gaia DR3 4320901992162889984,0.487,
Gaia DR3 4320905947843826304,0.559,
Gaia DR3 4320912854150784128,0.913,
Gaia DR3 4320979683849182976,0.545,
Gaia DR3 4320991950320374912,0.791,
Gaia DR3 4321053312449542400,0.555,
Gaia DR3 4321058058441485824,,
Gaia DR3 4321115198664752256,0.908,
Gaia DR3 4321142239764967808,0.51,
Gaia DR3 4321327915483752576,0.693,
Gaia DR3 4321357640979125632,0.227,
Gaia DR3 4321432747039577984,0.833,
Gaia DR3 4321495006887897984,0.703,
Gaia DR3 4321504902489767424,0.555,
Gaia DR3 4321505074288505728,0.507,
Gaia DR3 4321598807663650944,0.592,
Gaia DR3 4321646602051972736,0.564,
Gaia DR3 4321764116663015936,0.613,
Gaia DR3 4321816721428726016,0.449,
Gaia DR3 4321895370895225600,0.437,
Gaia DR3 4321910828441672320,0.788,
Gaia DR3 4321997277545804416,0.639,
Gaia DR3 4322001744324172160,0.844,
Gaia DR3 4322053013355065216,0.568,
Gaia DR3 4322075553343020160,0.755,
Gaia DR3 4322122179512445568,0.617,
Gaia DR3 4322175540177150208,0.636,
Gaia DR3 4322203710854837376,0.354,
Gaia DR3 4322345479129382144,0.632,
Gaia DR3 4322583596423863296,0.244,
Gaia DR3 4322682960483649280,0.327,
Gaia DR3 4322696807454699136,0.885,
Gaia DR3 432273340058172544,0.464,
Gaia DR3 4322867785828262528,0.456,
Gaia DR3 4322937016399839104,0.787,
Gaia DR3 4322975774182609280,0.591,
Gaia DR3 432299762696826240,0.514,
Gaia DR3 4323058787298127360,0.6,
Gaia DR3 4323090780516171904,0.562,
Gaia DR3 4323188838919726464,0.778,
Gaia DR3 4323311748008683520,0.25,
Gaia DR3 432332030790701440,0.678,
Gaia DR3 4323383246308807424,0.249,
Gaia DR3 4323448804705284480,0.803,
Gaia DR3 4323907644635565440,0.909,
Gaia DR3 432400750264672384,0.706,
Gaia DR3 4324041686273373056,0.223,
Gaia DR3 4324344494349345024,0.385,
Gaia DR3 4324585253037142272,0.52,
Gaia DR3 4324784440733168256,0.473,
Gaia DR3 4324824740411567872,0.427,
Gaia DR3 4324854392866586240,0.297,
Gaia DR3 4324947129800562048,0.606,
Gaia DR3 4325154903136962688,0.248,
Gaia DR3 4325345943282747520,0.244,
Gaia DR3 4325595532423160832,0.618,
Gaia DR3 432572304141144704,0.804,
Gaia DR3 432585395201959936,0.519,
Gaia DR3 4325919304239102464,0.389,
Gaia DR3 4325938927947939712,0.477,
Gaia DR3 4325975276252239616,0.347,
Gaia DR3 4326004417609133312,0.298,
Gaia DR3 4326029049242699136,0.439,
Gaia DR3 4326075537967656832,0.509,
Gaia DR3 4326250944433500288,0.481,
Gaia DR3 432645868340968832,0.657,
Gaia DR3 4326836434373347968,0.473,
Gaia DR3 432684458624046720,0.618,
Gaia DR3 4327024107263885056,0.494,
Gaia DR3 4327080044919583360,0.414,
Gaia DR3 4327177493434180096,0.768,
Gaia DR3 4327183776969970176,0.618,
Gaia DR3 4327301665232058112,0.251,
Gaia DR3 4327425467664138368,0.35,
Gaia DR3 4327426017422774528,0.758,
Gaia DR3 4327482706693743488,0.559,
Gaia DR3 4327554037509323392,0.545,
Gaia DR3 4327601423885993984,0.658,
Gaia DR3 4327627601710581888,0.579,
Gaia DR3 4327642926153182720,0.724,
Gaia DR3 4327660930657551488,0.397,
Gaia DR3 432776229188718080,0.627,
Gaia DR3 4327815274600687232,0.283,
Gaia DR3 4328160521251360384,0.476,
Gaia DR3 4328270064391989376,0.544,
Gaia DR3 4328334690765259264,0.348,
Gaia DR3 432844845586415872,0.664,
Gaia DR3 4328562289672549632,0.286,
Gaia DR3 4328710590599445888,0.472,
Gaia DR3 4328775869805774976,0.584,
Gaia DR3 4328841599985227776,0.334,
Gaia DR3 4328925231589271168,0.603,
Gaia DR3 4329004744319707136,0.532,
Gaia DR3 4329326450254526336,0.379,
Gaia DR3 4329409497741105536,0.186,
Gaia DR3 4329548658975634560,0.546,
Gaia DR3 4329676202326976000,0.541,
Gaia DR3 4329773783984081280,0.246,
Gaia DR3 4329913555102298880,0.567,
Gaia DR3 4330007528986483712,0.571,
Gaia DR3 4330008048679800320,0.54,
Gaia DR3 4330168744880661632,0.311,
Gaia DR3 4330201700166404608,0.617,
Gaia DR3 4330207330866048256,0.308,
Gaia DR3 433022421011239552,0.576,
Gaia DR3 4330281071162618624,0.567,
Gaia DR3 4330337107598769536,0.395,
Gaia DR3 4330575465399647872,0.682,
Gaia DR3 433069317757976448,0.591,
Gaia DR3 4331097660407046144,0.083,
Gaia DR3 4331278839307402368,0.949,
Gaia DR3 4331355633322228992,0.52,
Gaia DR3 4331401984609962368,0.536,
Gaia DR3 4331764106187008000,0.814,
Gaia DR3 4331881199880851840,0.258,
Gaia DR3 4331930677903256192,0.452,
Gaia DR3 4332326983124949760,0.453,
Gaia DR3 4332504622972626432,0.722,
Gaia DR3 4332681850503422336,0.183,
Gaia DR3 4332745111076336256,0.896,
Gaia DR3 4332745828337670912,0.436,
Gaia DR3 4332952433443288576,0.82,
Gaia DR3 4333046892662353152,,
Gaia DR3 4333258235116078848,0.5,
Gaia DR3 4333277236053655424,0.342,
Gaia DR3 4333378631639977856,0.598,
Gaia DR3 4333408421531121408,0.276,
Gaia DR3 4333450619584012544,0.56,
Gaia DR3 4333494939358516608,0.422,
Gaia DR3 4333610834749174144,0.419,
Gaia DR3 4333660140973889536,0.484,
Gaia DR3 4333663684325027584,0.59,
Gaia DR3 4333667154658647680,0.599,
Gaia DR3 4333793186176563456,0.666,
Gaia DR3 4333987554920843776,0.852,
Gaia DR3 433406597246572544,0.488,
Gaia DR3 4334088989163587200,0.248,
Gaia DR3 4334140387038520448,0.304,
Gaia DR3 4334191346827441408,0.472,
Gaia DR3 4334329193799524736,0.501,
Gaia DR3 4334567306787431552,0.548,
Gaia DR3 4334575346966102272,0.548,
Gaia DR3 4334825417141123584,0.549,
Gaia DR3 4335080641279702528,0.321,
Gaia DR3 4335199461550468608,0.167,
Gaia DR3 4335274292763768320,0.881,
Gaia DR3 4335279618525007872,0.597,
Gaia DR3 4335780789668832384,0.532,
Gaia DR3 4336198054328877440,0.3,
Gaia DR3 4336251522379095424,0.508,
Gaia DR3 4336267396579099648,0.364,
Gaia DR3 4336315427197198592,0.378,
Gaia DR3 4336378546040428160,0.76,
Gaia DR3 4336435686281708800,0.408,
Gaia DR3 4337110236662934400,0.584,
Gaia DR3 4337113638277079424,0.252,
Gaia DR3 4337296638244676096,0.214,
Gaia DR3 4337335705267529856,0.422,
Gaia DR3 433734453573837312,0.435,
Gaia DR3 4337440433750527488,0.511,
Gaia DR3 4337622952680559872,0.333,
Gaia DR3 433770600018108928,0.325,
Gaia DR3 4337729811465828864,0.329,
Gaia DR3 433783965956672768,0.699,
Gaia DR3 4337942017211045120,0.67,
Gaia DR3 4337980263897216512,0.497,
Gaia DR3 4337996992791421824,0.527,
Gaia DR3 4338174701358242176,0.563,
Gaia DR3 433832653704320128,0.619,
Gaia DR3 4338428722903474816,0.556,
Gaia DR3 4338501604206692736,0.498,
Gaia DR3 4338732188113136768,0.329,
Gaia DR3 4338776275954376448,0.533,
Gaia DR3 4338863304874975616,0.401,
Gaia DR3 4338959001042584192,0.53,
Gaia DR3 4339080497079338112,0.601,
Gaia DR3 4339148391922387712,0.462,
Gaia DR3 4339178486755713280,0.186,
Gaia DR3 433927216001657728,0.585,
Gaia DR3 4339368083793498880,0.717,
Gaia DR3 4339383172013598336,0.431,
Gaia DR3 4339427633516002048,0.554,
Gaia DR3 433960819825678848,0.562,
Gaia DR3 4339699277310390272,0.557,
Gaia DR3 4339706394070198144,0.227,
Gaia DR3 4340212543081243904,0.564,
Gaia DR3 4340302084558872448,0.521,
Gaia DR3 4340338127924777856,0.632,
Gaia DR3 4340469279048240640,0.898,
Gaia DR3 4340582975422061056,0.255,
Gaia DR3 4340670283515784064,0.327,
Gaia DR3 4340864725276573696,0.294,
Gaia DR3 4340968904002562560,0.576,
Gaia DR3 4341090679212041088,0.879,
Gaia DR3 4341105797498533504,0.697,
Gaia DR3 4341127439834343680,0.499,
Gaia DR3 4341206948269518848,0.39,
Gaia DR3 4341340233991086848,0.458,
Gaia DR3 4341684273753952640,0.359,
Gaia DR3 4341840992815635584,0.51,
Gaia DR3 4341959770136962304,0.542,
Gaia DR3 4342166139020560896,0.5,
Gaia DR3 4342461009999508352,0.559,
Gaia DR3 4342512790125761920,0.552,
Gaia DR3 4342618996078054912,0.51,
Gaia DR3 434267617931739136,0.548,
Gaia DR3 4342698745030069632,0.493,
Gaia DR3 434269954393927552,0.458,
Gaia DR3 4342700840974663040,0.758,
Gaia DR3 4342802545800026368,0.569,
Gaia DR3 4343095741748012800,0.471,
Gaia DR3 4343137003493341056,0.733,
Gaia DR3 4343174185024076288,0.75,
Gaia DR3 434318740924161152,0.626,
Gaia DR3 4343205482451822208,0.433,
Gaia DR3 434322279977259520,0.547,
Gaia DR3 4343256304805138048,0.341,
Gaia DR3 4343383981292399488,0.632,
Gaia DR3 4343384840285851520,0.545,
Gaia DR3 4343473458353036288,0.522,
Gaia DR3 4343704592011349120,0.49,
Gaia DR3 4343731053307202176,0.438,
Gaia DR3 4343739982541178624,1.07,
Gaia DR3 4343802311107066752,,
Gaia DR3 4344127392886237824,0.483,
Gaia DR3 4344206214127161472,0.316,
Gaia DR3 4344215177722513280,0.718,
Gaia DR3 4344327847602738048,0.353,
Gaia DR3 4344329320774001280,0.534,
Gaia DR3 4344431128680150144,0.478,
Gaia DR3 434443883389382656,0.858,
Gaia DR3 4344505075132368640,0.66,
Gaia DR3 4344566304186829568,0.661,
Gaia DR3 4344582762498441216,0.315,
Gaia DR3 4344587744660559232,0.623,
Gaia DR3 4344658353923186688,0.601,
Gaia DR3 4344695801743700480,0.5,
Gaia DR3 4344926664826368768,0.7,
Gaia DR3 4344956970114724736,0.53,
Gaia DR3 4345393613669561088,0.098,
Gaia DR3 434560736560239744,0.559,
Gaia DR3 4345718553715462784,0.818,
Gaia DR3 4345738173126934400,0.311,
Gaia DR3 4345797619771364608,0.487,
Gaia DR3 4346090055506886016,0.605,
Gaia DR3 4346096407759074944,0.685,
Gaia DR3 4346306448839629568,0.246,
Gaia DR3 4346308377279435520,0.846,
Gaia DR3 4346356785855336576,0.288,
Gaia DR3 4346408776439919360,0.523,
Gaia DR3 4346423585487436800,0.503,
Gaia DR3 4346426506065208192,0.672,
Gaia DR3 4346539480885110144,0.771,
Gaia DR3 4346678328588660480,0.757,
Gaia DR3 4347012781980054016,0.721,
Gaia DR3 434703539931908736,0.254,
Gaia DR3 4347224884645459072,0.636,
Gaia DR3 4347292027873957248,0.635,
Gaia DR3 4347505981665611648,0.627,
Gaia DR3 4347657271893498112,0.395,
Gaia DR3 4347734203347324672,0.569,
Gaia DR3 4347850644200898432,0.403,
Gaia DR3 4347943896530696064,0.518,
Gaia DR3 4348037217579806720,0.497,
Gaia DR3 4348105490380214656,0.517,
Gaia DR3 4348158026420642944,0.542,
Gaia DR3 4348186927259899520,0.295,
Gaia DR3 4348273440781106304,0.679,
Gaia DR3 4348476579853406848,0.509,
Gaia DR3 434857952593321088,0.708,
Gaia DR3 4348642017695591552,1.167,
Gaia DR3 434866989211670400,0.515,
Gaia DR3 434874239115064448,0.463,
Gaia DR3 4348746024623674752,0.245,
Gaia DR3 4348805020294266368,1.139,
Gaia DR3 434959176385100928,0.533,
Gaia DR3 4349603162656331136,0.791,
Gaia DR3 4349622919506481024,0.549,
Gaia DR3 4349690161513759360,0.572,
Gaia DR3 4349999128583530624,0.49,
Gaia DR3 4350125808635876480,0.895,
Gaia DR3 4350333242677517440,0.65,
Gaia DR3 4350343997275065088,0.606,
Gaia DR3 4350391753011753984,0.577,
Gaia DR3 4350525760288078848,0.573,
Gaia DR3 435068504774904448,0.867,
Gaia DR3 4350943677787229568,0.662,
Gaia DR3 4351030019510894976,0.531,
Gaia DR3 4351084960734823552,0.499,
Gaia DR3 4351112212304119040,0.468,
Gaia DR3 4351136092320508032,0.485,
Gaia DR3 435115886854819072,0.233,
Gaia DR3 4351184367752861824,0.69,
Gaia DR3 435123656452918784,0.373,
Gaia DR3 4351250196719302912,0.477,
Gaia DR3 435125267064001664,0.482,
Gaia DR3 4351369562447350144,0.428,
Gaia DR3 4351552979026106112,0.543,
Gaia DR3 4351576201912782464,0.578,
Gaia DR3 4351583967213759488,0.712,
Gaia DR3 4351898771136032640,0.529,
Gaia DR3 4352258831131822080,0.362,
Gaia DR3 4352359775746768128,0.495,
Gaia DR3 4352522091149591424,0.192,
Gaia DR3 4352576104658208896,0.836,
Gaia DR3 4352738351343922048,0.337,
Gaia DR3 4352977804361054464,0.602,
Gaia DR3 4353354215294042240,0.482,
Gaia DR3 4353371743058583552,0.596,
Gaia DR3 4353401769172170368,0.397,
Gaia DR3 435348605361084544,0.481,
Gaia DR3 435355820907955200,0.379,
Gaia DR3 4353695957251599616,0.286,
Gaia DR3 435411006942016768,0.291,
Gaia DR3 4354292511029397120,1.233,
Gaia DR3 4355235720207630464,0.68,
Gaia DR3 4355449094182750080,0.616,
Gaia DR3 4355786854707790720,0.469,
Gaia DR3 4355788534037619968,0.585,
Gaia DR3 4356208861012033280,0.566,
Gaia DR3 4356469273476371328,0.512,
Gaia DR3 4356528402284349312,0.598,
Gaia DR3 4356545788311602944,0.284,
Gaia DR3 4356858049614637184,0.48,
Gaia DR3 4356874374786973824,0.669,
Gaia DR3 435687877717237376,0.528,
Gaia DR3 435695677379246208,0.162,
Gaia DR3 4356974494767224064,0.554,
Gaia DR3 4357002635392706304,0.591,
Gaia DR3 4357176839266630144,0.598,
